종목코드,종목명,종가,대비,등락률,상장시가총액
"204320","HL만도","36150","-1200","-3.21","1697500.0"
"023530","롯데쇼핑","64100","-400","-0.62","1813309.0"
"005850","에스엘","33750","-900","-2.60","1567638.0"
"006280","녹십자","131600","300","0.23","1537948.0"
"006360","GS건설","18170","-490","-2.63","1555016.0"
"007070","GS리테일","17930","30","0.17","1499081.0"
"007310","오뚜기","385500","-2500","-0.64","1545018.0"
"457190","이수스페셜티케미컬","52800","-3200","-5.71","1594997.0"
"011210","현대위아","55400","-1700","-2.98","1506608.0"
"047040","대우건설","3390","-130","-3.69","1408961.0"
"073240","금호타이어","4735","160","3.50","1360177.0"
"375500","DL이앤씨","39900","-1500","-3.62","1543876.0"
"007340","DN오토모티브","23300","900","4.02","1363303.0"
"000080","하이트진로","18630","-160","-0.85","1306589.0"
"001800","오리온홀딩스","18690","-260","-1.37","1170843.0"
"003090","대웅","21700","-450","-2.03","1261681.0"
"004000","롯데정밀화학","45350","-500","-1.09","1170030.0"
"005300","롯데칠성","121000","500","0.41","1122745.0"
"009240","한샘","45100","-50","-0.11","1061380.0"
"300720","한일시멘트","17330","-120","-0.69","1200302.0"
"071320","지역난방공사","94700","1100","1.18","1096507.0"
"137310","에스디바이오센서","9610","-90","-0.93","1170009.0"
"185750","종근당","85000","500","0.59","1173236.0"
"192080","더블유게임즈","49450","-850","-1.69","1062973.0"
"280360","롯데웰푸드","116800","-200","-0.17","1086774.0"
"285130","SK케미칼","67500","-3200","-4.53","1167667.0"
"012630","HDC","18180","-920","-4.82","1086104.0"
"000210","DL","36600","-1950","-5.06","766985.0"
"000670","영풍","48900","-850","-1.71","934403.0"
"001430","세아베스틸지주","27300","-300","-1.09","979036.0"
"003240","태광산업","778000","-6000","-0.77","866225.0"
"004490","세방전지","61700","-2200","-3.44","863800.0"
"005250","녹십자홀딩스","15890","-80","-0.50","747278.0"
"298050","HS효성첨단소재","195400","-7100","-3.51","875382.0"
"008730","율촌화학","32350","-1150","-3.43","802280.0"
"014820","동원시스템즈","28050","-950","-3.28","813205.0"
"093370","후성","9360","70","0.75","1003910.0"
"114090","GKL","14750","-410","-2.70","912371.0"
"120110","코오롱인더","34500","-1150","-3.23","949409.0"
"298020","효성티앤씨","203000","-5000","-2.40","878519.0"
"006650","대한유화","130400","-8100","-5.85","847600.0"
"001680","대상","20750","0","0.00","718947.0"
"002710","TCC스틸","17820","-920","-4.91","467128.0"
"002840","미원상사","147600","500","0.34","701100.0"
"003030","세아제강지주","138200","-5000","-3.49","572377.0"
"003620","KG모빌리티","3565","-45","-1.25","721467.0"
"456040","OCI","59200","-2000","-3.27","529988.0"
"039130","하나투어","45550","-850","-1.83","705566.0"
"069260","TKG휴켐스","17400","-370","-2.08","711287.0"
"145720","덴티움","56000","-500","-0.88","619854.0"
"268280","미원에스씨","137500","800","0.59","687500.0"
"005420","코스모화학","18380","-870","-4.52","705943.0"
